companyName,productName,region,country,city,tier,categories,sourceType,sourceQuery,sourceUrl,capturedAt,evidenceSummary,confidence,privacyFlag,evidenceStrength,discoveryRound,seeded
Canon Medical Systems Corporation,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",,JP,Otawara-Shi,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233195,2026-05-14,FDA 510(k) K233195; 2024-01-24; product code IYN,0.86,company_product_public,strong_official_product,round1,no
"Spectrum Dynamics Medical, Ltd.",TruSPECT Processing Station,,IL,Caesarea,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253532,2026-05-14,FDA 510(k) K253532; 2025-12-30; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Murata Vios, Inc.",Vios Monitoring System(TM) Model 2050; Vios Central Station Monitor/Vios Central Server Software 2050,US,US,Woodbury,A,samd; remote_patient_monitoring,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241728,2026-05-14,FDA 510(k) K241728; 2025-01-23; product code DXN,0.86,company_product_public,strong_official_product,round1,no
"Biomagnetic Technologies, Inc.",MAGNES II BIOMAGNETOMETER,US,US,San Diego,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K941553,2026-05-14,FDA 510(k) K941553; 1996-05-16; product code OLX,0.86,company_product_public,strong_official_product,round1,no
"Infobionic, Inc.",MoMe Software Platform,US,US,Lowell,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K152491,2026-05-14,FDA 510(k) K152491; 2015-12-17; product code DSI,0.86,company_product_public,strong_official_product,round1,no
Natural Cycles Nordic AB,Natural Cycles,Europe,SE,Stockholm,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K231274,2026-05-14,FDA 510(k) K231274; 2023-08-24; product code PYT,0.86,company_product_public,strong_official_product,round1,no
"Hypoguard USA, Inc.","GLUCOBALANCE DATA MANAGEMENT SOFTWARE, MODEL 555020",US,US,Edina,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K022545,2026-05-14,FDA 510(k) K022545; 2002-10-11; product code NBW,0.86,company_product_public,strong_official_product,round1,no
"Vivometrics, Inc.",LIFESHIRT REAL-TIME WITH VIVOMONITOR SOFTWARE,US,US,Washington,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K043604,2026-05-14,FDA 510(k) K043604; 2005-04-29; product code DQK,0.86,company_product_public,strong_official_product,round1,no
Ligence Uab,Ligence Heart,Europe,LT,Kaunas,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253535,2026-05-14,FDA 510(k) K253535; 2026-02-27; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Laralab GmbH,LARALAB,Europe,DE,Munich,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K242500,2026-05-14,FDA 510(k) K242500; 2025-04-16; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Guangzhou Raydose Software Technology., LLC",EDOSE,China,CN,Guangzhou,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K150767,2026-05-14,FDA 510(k) K150767; 2015-08-17; product code IYE,0.86,company_product_public,strong_official_product,round1,no
Onera B.V.,Onera SleepMap (SLEEPMAP),Europe,NL,Eindhoven,A,sleep_health,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253668,2026-05-14,FDA 510(k) K253668; 2026-03-08; product code OLZ,0.86,company_product_public,strong_official_product,round1,no
GE Medical Systems Ultrasound and Primary Care Diagnostics,"EchoPAC Software Only, EchoPAC Plug-in",US,US,Wauwatosa,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K220940,2026-05-14,FDA 510(k) K220940; 2022-07-22; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Therapanacea Sas,ART-Plan,Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K230023,2026-05-14,FDA 510(k) K230023; 2023-04-19; product code QKB,0.86,company_product_public,strong_official_product,round1,no
"Ischemaview, Inc.",Rapid ASPECTS (v3),US,US,Golden,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K232156,2026-05-14,FDA 510(k) K232156; 2024-01-19; product code POK,0.86,company_product_public,strong_official_product,round1,no
"Ischemaview, Inc.",Rapid ICH,US,US,Golden,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K221456,2026-05-14,FDA 510(k) K221456; 2022-09-12; product code QAS,0.86,company_product_public,strong_official_product,round1,no
Datex-Ohmeda,DATEX-OHMEDA S/5 WEB VIEWER WITH L-6WV02 SOFTWARE,US,US,Needham,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023497,2026-05-14,FDA 510(k) K023497; 2002-11-04; product code MSX,0.86,company_product_public,strong_official_product,round1,no
"Lunit, Inc.",Lunit INSIGHT CXR Triage,,KR,Seoul,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K211733,2026-05-14,FDA 510(k) K211733; 2021-11-10; product code QFM,0.86,company_product_public,strong_official_product,round1,no
GE Medical Systems Ultrasound and Primary Care Diagnostics,EchoPAC Software Only / EchoPAC Plug-in,US,US,Waukesha,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K251342,2026-05-14,FDA 510(k) K251342; 2025-07-16; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Ortho Kinematics, Inc.",OKI Surgical Planning Software,US,US,Austin,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171617,2026-05-14,FDA 510(k) K171617; 2017-08-22; product code LLZ,0.86,company_product_public,strong_official_product,round1,no
"Nidek, Inc.",OPD-STATION SOFTWARE,US,US,Lake Forest,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K050336,2026-05-14,FDA 510(k) K050336; 2005-08-24; product code NCF,0.86,company_product_public,strong_official_product,round1,no
Gleamer Sas,BoneMetrics (US),Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241593,2026-05-14,FDA 510(k) K241593; 2025-02-05; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Elaitra, Ltd.",ViewFinder Software Version 1.1,Europe,GB,London,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K223501,2026-05-14,FDA 510(k) K223501; 2023-04-21; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Philips Medical Systems (Cleveland), Inc.",VOYAGER 6.0 SOFTWARE OPTION,US,US,Cleveland,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K000310,2026-05-14,FDA 510(k) K000310; 2000-02-15; product code HAW,0.86,company_product_public,strong_official_product,round1,no
"Remedy Logic, Inc.",RemedyLogic AI MRI Lumbar Spine Reader,US,US,New York,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241108,2026-05-14,FDA 510(k) K241108; 2024-10-30; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Feops NV,FEops HEARTguide,Europe,BE,Gent-Zwijnaarde,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=DEN200030,2026-05-14,FDA 510(k) DEN200030; 2021-09-08; product code QQI,0.86,company_product_public,strong_official_product,round1,no
Brightheart,BrightHeart View Classifier,Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K251456,2026-05-14,FDA 510(k) K251456; 2025-06-05; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"R2 Technology, Inc.",IMAGECHECKER-CT SOFTWARE PACKAGE WITH FILLING DEFECT INDICATOR,US,US,Sunnyvale,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K041380,2026-05-14,FDA 510(k) K041380; 2004-06-08; product code OEB,0.86,company_product_public,strong_official_product,round1,no
"Topcon Medical Systems, Inc.",IMAGENET 5 PC SOFTWARE SYSTEM,US,US,North Reading,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132438,2026-05-14,FDA 510(k) K132438; 2013-10-17; product code NFJ,0.86,company_product_public,strong_official_product,round1,no
"Advanced Planimetric Services, LLC",PICTZAR DIGITAL PLANIMETRY SOFTWARE APPLICATION 7.0,US,US,Elmwood Park,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130165,2026-05-14,FDA 510(k) K130165; 2013-08-30; product code FXN,0.86,company_product_public,strong_official_product,round1,no
"Smiths Medical Asd, Inc.",MEDFUSION 4000 PUMP DEVICE SPECIFIC REPORTS SOLFWARE FOR PHARMGUARD SERVER VERSION 2.0,US,US,St. Paul,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K141193,2026-05-14,FDA 510(k) K141193; 2014-07-25; product code PHC,0.86,company_product_public,strong_official_product,round1,no
"Toshiba America Mri, Inc.",OPART (MRT-600) VERSIONS 2 SOFTWARE UPGRADE,US,US,S. San Francisco,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K981475,2026-05-14,FDA 510(k) K981475; 1998-07-14; product code LNH,0.86,company_product_public,strong_official_product,round1,no
"Siemens Medical Solutions USA, Inc.",SOMATOM EXTENDED FIELD OF VIEW SOFTWARE OPTION,US,US,Mavern,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K032536,2026-05-14,FDA 510(k) K032536; 2003-11-10; product code JAK,0.86,company_product_public,strong_official_product,round1,no
"Neurosoft , Ltd.",Neuro-IOM system with Neuro-IOM.NET software,,RU,Ivanovo,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K190703,2026-05-14,FDA 510(k) K190703; 2021-05-22; product code GWF,0.86,company_product_public,strong_official_product,round1,no
Puritan Bennett Corp.,PURITAN BENNETT DATAFLOW DATA MANAGEMENT SOFTWARE,US,US,Pleasanton,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023225,2026-05-14,FDA 510(k) K023225; 2002-12-18; product code BZG,0.86,company_product_public,strong_official_product,round1,no
"Siemens Medical Solutions USA, Inc.",LUNGCARE CT SOFTWARE PACKAGE,US,US,Iselin,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K022013,2026-05-14,FDA 510(k) K022013; 2002-07-16; product code JAK,0.86,company_product_public,strong_official_product,round1,no
Diagnostic Monitoring Software,DMS 300-2W HOLTER ECG RECORDER,US,US,Stateline,A,remote_patient_monitoring,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K133014,2026-05-14,FDA 510(k) K133014; 2014-05-19; product code MWJ,0.86,company_product_public,strong_official_product,round1,no
"Siemens Medical Solutions USA, Inc.",Biograph mMR with syngo MR E11P system software,US,US,Malvern,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K163234,2026-05-14,FDA 510(k) K163234; 2017-02-28; product code OUO,0.86,company_product_public,strong_official_product,round1,no
Artrya Limited,Salix Coronary Plaque (V1.0.0),,AU,Perth,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K251837,2026-05-14,FDA 510(k) K251837; 2025-08-20; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Brainlab AG,Brainlab Elements (7.0); Brainlab Elements Image Fusion (5.0); Brainlab Elements Image Fusion Angio (1.0); Brainlab Elements Contouring (5.0); Brainlab Elements Fibertracking (3.0); Brainlab Elements BOLD MRI Mapping (1.0),Europe,DE,Munich,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K243633,2026-05-14,FDA 510(k) K243633; 2025-06-13; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Omega Results,SLEEP STUDY ANALYSIS (SSA) VERSION 96.10,US,US,Dallas,A,sleep_health,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K963631,2026-05-14,FDA 510(k) K963631; 1997-04-02; product code OLZ,0.86,company_product_public,strong_official_product,round1,no
Stryker Corporation,"Scopis ENT Software, Scopis ENT Software with TGS, Scopis Planning Software, Electromagnetic Navigation Unit",Europe,DE,Freiburg,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K221098,2026-05-14,FDA 510(k) K221098; 2022-07-12; product code PGW,0.86,company_product_public,strong_official_product,round1,no
Metamorphosis GmbH,AIAS Cephalon,Europe,DE,Paderborn,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K252214,2026-05-14,FDA 510(k) K252214; 2025-10-07; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Canon, Inc.","CANON X-RAY DIGITAL CAMERA WITH ADDITIONAL SOFTWARE, LANMIX MLT",,JP,"Ohta-Ku, Tokyo, Japan",A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023124,2026-05-14,FDA 510(k) K023124; 2002-10-04; product code MQB,0.86,company_product_public,strong_official_product,round1,no
"Canon, Inc.",Enhanced Feature Software Pack CXDI Series,,JP,Tokyo,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K190368,2026-05-14,FDA 510(k) K190368; 2019-03-13; product code MQB,0.86,company_product_public,strong_official_product,round1,no
Cochlear Americas,"Cochlear Baha 6 System, Cochlear Baha Fitting Software 6, Cochlear Baha Baha Smart App",US,US,Lone Tree,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K212136,2026-05-14,FDA 510(k) K212136; 2021-09-29; product code LXB,0.86,company_product_public,strong_official_product,round1,no
"Draeger Medical Systems, Inc.","INFINITY EXPLORER SOFTWARE, C700 FOR IT PATIENT VICINITY WORKSTATION",US,US,Andover,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K141756,2026-05-14,FDA 510(k) K141756; 2014-12-12; product code MSX,0.86,company_product_public,strong_official_product,round1,no
Canon Medical Systems Corporation,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0",,JP,Otawara-Shi,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K223017,2026-05-14,FDA 510(k) K223017; 2023-03-31; product code IYN,0.86,company_product_public,strong_official_product,round1,no
"Dia Imaging Analysis, Ltd.",LVivo Software Application,,IL,Beer-Sheva,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K243862,2026-05-14,FDA 510(k) K243862; 2025-03-17; product code QIH,0.86,company_product_public,strong_official_product,round1,no
3Shape A/S,Abutment Design,Europe,DK,Copenhagen,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K200100,2026-05-14,FDA 510(k) K200100; 2020-10-07; product code PNP,0.86,company_product_public,strong_official_product,round1,no
Canon Medical Systems Corporation,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.5",,JP,Otawara-Shi,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233107,2026-05-14,FDA 510(k) K233107; 2024-08-30; product code OWB,0.86,company_product_public,strong_official_product,round1,no
"Telcam Medical Devices, Inc.",CONVEEN LEG BAG W/TUBE-DRAINAGE BAG,US,US,Walker,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K832537,2026-05-14,FDA 510(k) K832537; 1983-09-12; product code KNX,0.86,company_product_public,strong_official_product,round1,no
I3 Membrane GmbH,i3 ONE (203100-S);i3 TWO connect (203200-S);i3 TWO direct (203300-S),Europe,DE,Radeberg,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K222727,2026-05-14,FDA 510(k) K222727; 2023-06-02; product code NHV,0.86,company_product_public,strong_official_product,round1,no
Strato Medical Corp.,STRATOFUSE SYRINGE PIGGYBACK PUMP,US,US,Beverly,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K844627,2026-05-14,FDA 510(k) K844627; 1985-01-28; product code FRN,0.86,company_product_public,strong_official_product,round1,no
"Zoe Medical, Inc.",NIGHTINGALE MONITORING SYSTEM,US,US,Topsfield,A,remote_patient_monitoring,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130740,2026-05-14,FDA 510(k) K130740; 2013-07-23; product code MWI,0.86,company_product_public,strong_official_product,round1,no
"Seabrook Medical Systems, Inc.",ELECTRI-COOL(TM) LIQUID-CIRCULAT. THERMAL THERAPY,US,US,Cincinnati,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K902269,2026-05-14,FDA 510(k) K902269; 1990-06-21; product code ILO,0.86,company_product_public,strong_official_product,round1,no
"Medical, Inc.",INTERFACE TRANSFUSION BLOOD FILTER #30,US,US,Mchenry,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K823261,2026-05-14,FDA 510(k) K823261; 1983-01-07; product code CAK,0.86,company_product_public,strong_official_product,round1,no
Richard Wolf Medical Instruments Corp.,MYOMA DRILL 5MM-8383.611,US,US,Vernon Hills,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K940844,2026-05-14,FDA 510(k) K940844; 1994-05-02; product code HET,0.86,company_product_public,strong_official_product,round1,no
"Hitachi Aloka Medical,Ltd. (Hitachi Aloka Medical",PROUSOUND ALPHA 7 VER. 6.0 DIAGNOSTIC ULTRASOUND SYSTEM MODEL: PROSOUND ALPHA 7 VER. 6.0,US,US,Wallingford,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K122537,2026-05-14,FDA 510(k) K122537; 2013-04-12; product code IYN,0.86,company_product_public,strong_official_product,round1,no
Redsense Medical AB,REDSENSE-ALARM UNIT AND SENSOR,US,US,Fridley,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K103242,2026-05-14,FDA 510(k) K103242; 2011-02-10; product code ODX,0.86,company_product_public,strong_official_product,round1,no
Nipro Medical Corp.,NIPRO SAFETOUCH LOCKTAIL SAFETY FISTULA NEEDLE,US,US,Miami,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K093985,2026-05-14,FDA 510(k) K093985; 2010-01-22; product code FIE,0.86,company_product_public,strong_official_product,round1,no
"Philips Medical Systems (Cleveland), Inc.",SYNERVIEW MODEL 6478,US,US,Mchenry,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K770855,2026-05-14,FDA 510(k) K770855; 1977-05-26; product code JAK,0.86,company_product_public,strong_official_product,round1,no
"Seigla Medical, Inc.","LiquID 061 Guide Catheter Extension, LiquID 071 Guide Catheter Extension",US,US,Buffalo,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K220691,2026-05-14,FDA 510(k) K220691; 2022-05-05; product code DQY,0.86,company_product_public,strong_official_product,round1,no
Abigo Medical AB,Sorbact Wound Dressing-Ribbon Gauze,Europe,SE,Askim,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171225,2026-05-14,FDA 510(k) K171225; 2017-08-21; product code FRO,0.86,company_product_public,strong_official_product,round1,no
Pike Medical Co.,I.V. SENTRY ALARM DEVICE,US,US,Mchenry,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K802101,2026-05-14,FDA 510(k) K802101; 1980-09-16; product code FLN,0.86,company_product_public,strong_official_product,round1,no
"Burron Medical Products, Inc.",MEDIFIX,US,US,Walker,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K813498,2026-05-14,FDA 510(k) K813498; 1982-01-07; product code KRK,0.86,company_product_public,strong_official_product,round1,no
Tenon Medical,CATAMARAN SI Joint Fusion System,US,US,Los Gatos,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K260477,2026-05-14,FDA 510(k) K260477; 2026-04-08; product code OUR,0.86,company_product_public,strong_official_product,round1,no
"Syneron Medical, Ltd.","AURORA DS, DS APPLICATOR",,IL,Yokneam Illit,A,samd,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K050796,2026-05-14,FDA 510(k) K050796; 2005-04-12; product code GEX,0.86,company_product_public,strong_official_product,round1,no
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",ePM Series Patient monitors,China,CN,Shenzhen,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K191769,2026-05-14,FDA 510(k) K191769; 2019-10-31; product code MHX,0.86,company_product_public,strong_official_product,round1,no
"CSA Medical, Inc.",truFreeze Rapid AV Spray Kit,US,US,Lexington,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171522,2026-05-14,FDA 510(k) K171522; 2017-07-14; product code GEH,0.86,company_product_public,strong_official_product,round1,no
"Intec Medical, Inc.",GIANT LUMEN SAFETIP SERIES: ENDOMYOCARDIAL BIOPSY,US,US,Danvers,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K903840,2026-05-14,FDA 510(k) K903840; 1990-10-16; product code DYB,0.86,company_product_public,strong_official_product,round1,no
Canon Inc. -Medical Equipment Group,DIGITAL RADIOGRAPHY,,JP,"Tachikawa-Shi, Tokyo",A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K111682,2026-05-14,FDA 510(k) K111682; 2011-09-02; product code MQB,0.86,company_product_public,strong_official_product,round1,no
"Monarch Medical Technologies, LLC",EndoTool SubQ 2.1,US,US,Charlotte,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K211160,2026-05-14,FDA 510(k) K211160; 2021-10-28; product code NDC,0.86,company_product_public,strong_official_product,round1,no
"Merit Medical Systems, Inc.","MERIT MANIFOLD WITH INTEGRATED TRANSDUCER, MODEL 203LTCHN-R; 503LTCHN-R; 203LTPHN-R,203LTCHWN-R; 503LTCHWN-R; 203L",US,US,South Jordan,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K100319,2026-05-14,FDA 510(k) K100319; 2010-04-28; product code DTL,0.86,company_product_public,strong_official_product,round1,no
Richard Wolf Medical Instruments Corp.,BIPOLAR FORCEPS,US,US,Vernon Hills,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023813,2026-05-14,FDA 510(k) K023813; 2003-01-17; product code GEI,0.86,company_product_public,strong_official_product,round1,no
Thomasville Medical Assoc.,VARIOUS FORCEPS,US,US,Alpharetta,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K930799,2026-05-14,FDA 510(k) K930799; 1994-02-24; product code HCZ,0.86,company_product_public,strong_official_product,round1,no
Allergan Medical Optics,AMO ELITE,US,US,Anasco,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K924235,2026-05-14,FDA 510(k) K924235; 1992-12-23; product code HQC,0.86,company_product_public,strong_official_product,round1,no
Supermax Healthcare Canada-Supermax Medical,Aurelia Surgical Mask ASTM Level 1; Aurelia Surgical Mask ASTM Level 2,,CA,Saint-Bruno-De-Montarville,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K231005,2026-05-14,FDA 510(k) K231005; 2023-12-05; product code FXX,0.86,company_product_public,strong_official_product,round1,no
"American Threshold Industries, Inc.","DRAW SHEET, ANTI-MICROBIAL",US,US,Mchenry,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K832487,2026-05-14,FDA 510(k) K832487; 1984-02-13; product code KME,0.86,company_product_public,strong_official_product,round1,no
"Hangzhou Primecare Medical Co., Ltd.",Prefilled Syringe,China,CN,Hang Zhou,A,,openfda_device_510k,mobile medical app,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K202698,2026-05-14,FDA 510(k) K202698; 2020-12-15; product code EZL,0.86,company_product_public,strong_official_product,round1,no
